news_headline,news_article,news_category
"Olympic silver medallist Mirabai meets Salman, gifts him stole with sangai deer on it","Actor Salman Khan took to Twitter to share a photo of himself with Olympic silver medalist Mirabai Chanu. Sharing a picture, Salman wrote, ""Happy for you silver medalist...lovely meeting with you...best wishes always!"" Mirabai gifted Salman a stole with a sangai deer (state animal of Manipur) imprinted on it. She termed her meeting with Salman ""a dream come true"".",sports
Olympic hat-trick scorer hockey player Vandana breaks down as she hugs mother,"Vandana Katariya, the Indian women hockey player and hat-trick scorer in Tokyo Olympics, broke down as she hugged her mother on arrival at their residence in Haridwar, Uttarakhand. Vandana became the first Indian woman hockey player to score an Olympic hat-trick as India beat South Africa by 4-3 at Tokyo Olympics. Three months ago, she couldn't attend her father’s funeral.",sports
They were slippery: Runner who knocked over water bottles during marathon at Olympics,"French runner Morhad Amdouni, who knocked over a row of water bottles before grabbing the last one during men's marathon at Tokyo Olympics, has denied doing it on purpose. He was accused of poor sportsmanship as runners behind him were left with no water. Morhad said that the bottles were slippery and they slid as he tried to grab one.",sports
"Chinese state media morphs Olympics medal tally to show China on top, trolled","China Central Television (CCTV) morphed the Tokyo Olympics medal tally to show China on top with 42 gold medals. CCTV included medals won by Taiwan and Hong Kong in its tally. As per the official tally, China won 38 golds, while USA were on top with 39 gold medals. ""China's so insecure,"" a user wrote. ""Probably Chinese math,"" wrote another.",sports
"World Athletics names 10 'magical moments' from Tokyo Olympics, includes Neeraj's win","Indian javelin thrower Neeraj Chopra's gold medal win has been featured in the World Athletics' 10 'magical moments' from Tokyo Olympics. It also includes high jumpers, Italy's Gianmarco Tamberi and Qatar's Mutaz Barshim, sharing their gold medal. Other moments include US shot-putter Ryan Crouser dedicating his gold to his late grandfather and sprinter Andre De Grasse's video call with family.",sports
Japan athlete's Olympic gold medal to be replaced after mayor bites it amid COVID-19,"Japanese athlete Miu Goto will have her medal replaced with a fresh one after the mayor of her hometown was seen biting it amid COVID-19, Tokyo 2020 organisers said. Mayor Takashi Kawamura was criticised on social media for disregarding coronavirus etiquette. He had earlier apologised, saying, ""I forgot my position as Nagoya mayor and acted in an extremely inappropriate way.""",sports
Olympic gold winner tracks down woman who helped him when he reached wrong venue,"Jamaican hurdler Hansle Parchment tracked down and thanked a woman, a Tokyo 2020 volunteer, who paid for his taxi to the Olympic Stadium, where he won gold medal in 110m hurdles final. Parchment had reached the wrong venue last Thursday when he got on the wrong coach. Parchment thanked her and showed her the gold medal.",sports
"2-yr-old boy invades pitch during football match in US, mother slips while chasing him","A video of a two-year-old boy invading pitch during a Major League Soccer match between FC Cincinnati and Orlando City went viral. In the video, the boy's mother can be seen chasing him and slipping in the process. ""The way he looks over his shoulder to check if his mom is following him is freaking hilarious,"" a YouTube user commented.",sports
Lionel Messi to be partly paid in crypto fan tokens at Paris Saint-Germain,"Six-time Ballon d'Or winner Lionel Messi, who recently joined Paris Saint-Germain on a two-year deal, will receive cryptocurrency '$PSG Fan Tokens' as a part of his financial package, the club said. Earlier, the token's value surged over 130% in five days amid speculation over Messi's arrival. Trading volumes exceeded $1.2 billion in the days preceding the move, PSG claimed.",sports
Ravi Shastri to part ways with Team India after T20 World Cup 2021: Reports,"Head coach Ravi Shastri will part ways with Team India by not renewing his contract after upcoming T20 World Cup, Indian Express reported. Shastri first took over the team in 2014 as director till T20 World Cup 2016 after which Anil Kumble was appointed for a year. Shastri was made full-time coach in 2017 after India's Champions Trophy final defeat.",sports
"Latest rankings for Test batsmen out, Kohli drops to fifth","The ICC today released the latest rankings for Test batsmen, with three Indians in the top 10. Team India captain Virat Kohli dropped down one place to be ranked fifth. Rohit Sharma and Rishabh Pant are ranked sixth and seventh respectively. England captain Joe Root moved up one place to the fourth position.",sports
"Olympic silver medallist Mirabai Chanu meets Sachin Tendulkar, shares pics","Mirabai Chanu, the first Indian weightlifter to win a silver medal at Olympics, met cricket legend Sachin Tendulkar today. She took to Twitter to share pictures from their meet and wrote, ""Loved meeting Sachin sir! His words of wisdom & motivation shall always stay with me. Really inspired."" Sachin tweeted, ""You've got places to go in coming years...keep working hard.""",sports
"US sprinter Burrell, son of Olympic champs, dies at 26 in unexplained car park incident","American sprinter Cameron Burrell, son of Olympic gold medallists Leroy Burrell and Michelle Finn-Burrell, died aged 26 in an unexplained car park incident. ""We're profoundly grief-stricken and thank everyone for...outpouring of prayers. We'll forward more information when it's available,"" Leroy said. Cameron Burrell had won several golds at junior and senior competitions between 2011 and 2018.",sports
"In 2002, I asked ‘What will a laptop do in dressing room’: Sachin Tendulkar","Ex-India batsman Sachin Tendulkar said when a laptop was brought to Team India dressing room in 2002, he asked, ""What will a laptop do in the dressing room?"" ""Over a period of time, there was acceptance. Only if there is acceptance, will there be adaptability. Our team meetings started to be more precise,"" he added about how technology ""changed everything"".",sports
Langer involved in confrontation with CA staff member over B'desh video: Reports,Australia head coach Justin Langer and team manager Gavin Dovey were reportedly involved in heated confrontation with a Cricket Australia (CA) staff member about a video showing Bangladesh celebrating their series win. Dovey argued it was inappropriate for Bangladesh team song to be posted on a CA-operated website. The confrontation escalated when the staffer stood their ground over the issue.,sports
Manpreet Singh shares pic of his mother wearing his Olympic bronze medal,"Indian men's hockey team captain Manpreet Singh took to Twitter to share a picture of his mother wearing his Olympic bronze medal. He wrote, ""Just seeing her smile and knowing how proud she is of me brings a smile to my face too...won’t be here today without her."" Manpreet led the team to their first Olympic medal in 41 years.",sports
